"district_key","NAME_1","indicator","year","percent"
"phalombe","Phalombe","Coverage Index",2015,71.8706899782385
"phalombe","Phalombe","Skilled Birth Attendance",2024,30.5809717540652
"phalombe","Phalombe","ANC 4+",2024,58.2434179623587
"phalombe","Phalombe","Postnatal Care",2024,100
"phalombe","Phalombe","Coverage Index",2024,62.941463238808
"rumphi","Rumphi","Skilled Birth Attendance",2015,52.1247173222584
"rumphi","Rumphi","ANC 4+",2015,43.8771090087405
"rumphi","Rumphi","Postnatal Care",2015,99.9048325928869
"rumphi","Rumphi","Coverage Index",2015,65.3022196412953
"rumphi","Rumphi","Skilled Birth Attendance",2024,31.3219582761156
"rumphi","Rumphi","ANC 4+",2024,60.7364984966566
"rumphi","Rumphi","Postnatal Care",2024,100
"rumphi","Rumphi","Coverage Index",2024,64.0194855909241
"salima","Salima","Skilled Birth Attendance",2015,56.1969469572714
"salima","Salima","ANC 4+",2015,43.4509359213226
"salima","Salima","Postnatal Care",2015,99.3083319185931
"salima","Salima","Coverage Index",2015,66.318738265729
"salima","Salima","Skilled Birth Attendance",2024,34.9752209922944
"salima","Salima","ANC 4+",2024,59.2738961948886
"salima","Salima","Postnatal Care",2024,99.5601180516368
"salima","Salima","Coverage Index",2024,64.6030784129399
"thyolo","Thyolo","Skilled Birth Attendance",2015,43.6263370360815
"thyolo","Thyolo","ANC 4+",2015,44.4063341360147
"thyolo","Thyolo","Postnatal Care",2015,99.242725573545
"thyolo","Thyolo","Coverage Index",2015,62.4251322485471
"thyolo","Thyolo","Skilled Birth Attendance",2024,31.6275147179222
"thyolo","Thyolo","ANC 4+",2024,56.9315377759964
"thyolo","Thyolo","Postnatal Care",2024,99.4400322017048
"thyolo","Thyolo","Coverage Index",2024,62.6663615652078
"zomba","Zomba","Skilled Birth Attendance",2015,53.2336552081803
"zomba","Zomba","ANC 4+",2015,46.9497061056608
"zomba","Zomba","Postnatal Care",2015,99.7088819015045
"zomba","Zomba","Coverage Index",2015,66.6307477384485
"zomba","Zomba","Skilled Birth Attendance",2024,34.4750432488569
"zomba","Zomba","ANC 4+",2024,70.2750023520291
"zomba","Zomba","Postnatal Care",2024,99.1802532003775
"zomba","Zomba","Coverage Index",2024,67.9767662670878
